token,경주빈도,전주빈도,빈도합,경주비율,전주비율
코스,484,489,973,49.74%,50.26%
추천,394,345,739,53.32%,46.68%
한곳,36,445,481,7.48%,92.52%
맛집,65,271,336,19.35%,80.65%
여수,0,319,319,0.00%,100.00%
제주도,15,253,268,5.60%,94.40%
숙소,178,76,254,70.08%,29.92%
질문,133,95,228,58.33%,41.67%
부탁,124,98,222,55.86%,44.14%
한옥마을,0,208,208,0.00%,100.00%
답변,123,65,188,65.43%,34.57%
일정,99,80,179,55.31%,44.69%
계획,137,35,172,79.65%,20.35%
안녕하세요,89,74,163,54.60%,45.40%
주가,0,157,157,0.00%,100.00%
국내,5,142,147,3.40%,96.60%
관련,86,35,121,71.07%,28.93%
전문,5,116,121,4.13%,95.87%
가족,101,15,116,87.07%,12.93%
참고,50,40,90,55.56%,44.44%
이번,30,55,85,35.29%,64.71%
택시,55,30,85,64.71%,35.29%
정도,46,37,83,55.42%,44.58%
제가,53,30,83,63.86%,36.14%
당일치기,25,55,80,31.25%,68.75%
준비,39,40,79,49.37%,50.63%
시간,27,50,77,35.06%,64.94%
리단,72,5,77,93.51%,6.49%
장소,46,25,71,64.79%,35.21%
이용,40,30,70,57.14%,42.86%
관광지,35,30,65,53.85%,46.15%
이랑,25,40,65,38.46%,61.54%
예정,20,40,60,33.33%,66.67%
전주한옥마을,0,58,58,0.00%,100.00%
호텔,15,42,57,26.32%,73.68%
거리,15,41,56,26.79%,73.21%
친구,20,35,55,36.36%,63.64%
숙박,35,20,55,63.64%,36.36%
공원,12,43,55,21.82%,78.18%
한옥,10,45,55,18.18%,81.82%
처음,30,23,53,56.60%,43.40%
근처,20,33,53,37.74%,62.26%
불국사,53,0,53,100.00%,0.00%
동선,45,5,50,90.00%,10.00%
이동,20,30,50,40.00%,60.00%
역사,40,10,50,80.00%,20.00%
아래,29,20,49,59.18%,40.82%
사람,10,39,49,20.41%,79.59%
덕진,0,48,48,0.00%,100.00%
추억,37,10,47,78.72%,21.28%
남자친구,10,35,45,22.22%,77.78%
도착,30,15,45,66.67%,33.33%
혼자,10,35,45,22.22%,77.78%
동궁,45,0,45,100.00%,0.00%
엄마,45,0,45,100.00%,0.00%
첨성대,43,0,43,100.00%,0.00%
일차,33,10,43,76.74%,23.26%
도움,20,23,43,46.51%,53.49%
시작,10,31,41,24.39%,75.61%
여자친구,20,20,40,50.00%,50.00%
가요,30,10,40,75.00%,25.00%
문화,20,20,40,50.00%,50.00%
빌라,40,0,40,100.00%,0.00%
비용,0,40,40,0.00%,100.00%
투어,29,10,39,74.36%,25.64%
식당,35,4,39,89.74%,10.26%
버스,13,25,38,34.21%,65.79%
감사,5,33,38,13.16%,86.84%
대중교통,20,17,37,54.05%,45.95%
얼마,4,32,36,11.11%,88.89%
관광,6,30,36,16.67%,83.33%
체험,6,29,35,17.14%,82.86%
주말,15,20,35,42.86%,57.14%
터미널,10,25,35,28.57%,71.43%
방문,25,10,35,71.43%,28.57%
하루,30,5,35,85.71%,14.29%
날씨,35,0,35,100.00%,0.00%
월지,35,0,35,100.00%,0.00%
부모,19,15,34,55.88%,44.12%
생각,19,15,34,55.88%,44.12%
도보,24,10,34,70.59%,29.41%
아들,32,0,32,100.00%,0.00%
카페,15,17,32,46.88%,53.12%
가격,5,27,32,15.62%,84.38%
수목원,0,30,30,0.00%,100.00%
전라도,0,30,30,0.00%,100.00%
전주동물원,0,30,30,0.00%,100.00%
아이,15,15,30,50.00%,50.00%
렌트,10,20,30,33.33%,66.67%
다음,15,15,30,50.00%,50.00%
만원,15,15,30,50.00%,50.00%
한복,10,19,29,34.48%,65.52%
이면,15,14,29,51.72%,48.28%
시장,5,23,28,17.86%,82.14%
위치,23,5,28,82.14%,17.86%
석굴암,26,0,26,100.00%,0.00%
정보,5,20,25,20.00%,80.00%
학년,15,10,25,60.00%,40.00%
야경,20,5,25,80.00%,20.00%
포항,25,0,25,100.00%,0.00%
제외,5,20,25,20.00%,80.00%
부산,20,5,25,80.00%,20.00%
아빠,25,0,25,100.00%,0.00%
위주,15,10,25,60.00%,40.00%
첨부,20,5,25,80.00%,20.00%
소개,25,0,25,100.00%,0.00%
확인,20,5,25,80.00%,20.00%
강아지,0,25,25,0.00%,100.00%
루트,25,0,25,100.00%,0.00%
필요,10,15,25,40.00%,60.00%
당일,10,15,25,40.00%,60.00%
남부,0,23,23,0.00%,100.00%
구경,5,18,23,21.74%,78.26%
추석,8,15,23,34.78%,65.22%
사진,13,10,23,56.52%,43.48%
경비,3,20,23,13.04%,86.96%
고등학생,17,5,22,77.27%,22.73%
음식,0,21,21,0.00%,100.00%
아이와,10,10,20,50.00%,50.00%
편안,15,5,20,75.00%,25.00%
평일,15,5,20,75.00%,25.00%
지도,20,0,20,100.00%,0.00%
실패,20,0,20,100.00%,0.00%
숙박비,0,20,20,0.00%,100.00%
포함,5,15,20,25.00%,75.00%
말씀,10,10,20,50.00%,50.00%
볼거리,0,20,20,0.00%,100.00%
채택,15,5,20,75.00%,25.00%
공항,20,0,20,100.00%,0.00%
경주로,20,0,20,100.00%,0.00%
이서,0,20,20,0.00%,100.00%
가시,15,5,20,75.00%,25.00%
어머니,15,5,20,75.00%,25.00%
경기전,0,20,20,0.00%,100.00%
명소,5,15,20,25.00%,75.00%
대부분,5,15,20,25.00%,75.00%
예약,10,10,20,50.00%,50.00%
오전,9,10,19,47.37%,52.63%
선택,14,5,19,73.68%,26.32%
교통비,3,15,18,16.67%,83.33%
해주시,5,13,18,27.78%,72.22%
커플,10,8,18,55.56%,44.44%
경주시,18,0,18,100.00%,0.00%
니다,15,3,18,83.33%,16.67%
내공,10,7,17,58.82%,41.18%
시절,12,5,17,70.59%,29.41%
경주월드,17,0,17,100.00%,0.00%
박물관,7,10,17,41.18%,58.82%
지역,6,10,16,37.50%,62.50%
렌트카,10,6,16,62.50%,37.50%
갈수,5,10,15,33.33%,66.67%
고등학교,0,15,15,0.00%,100.00%
광주,0,15,15,0.00%,100.00%
그런지,0,15,15,0.00%,100.00%
게스트하우스,5,10,15,33.33%,66.67%
학생,10,5,15,66.67%,33.33%
산책,0,15,15,0.00%,100.00%
기본,5,10,15,33.33%,66.67%
반려,0,15,15,0.00%,100.00%
인지,0,15,15,0.00%,100.00%
자동차,0,15,15,0.00%,100.00%
전동성당,0,15,15,0.00%,100.00%
전통,0,15,15,0.00%,100.00%
벽화,0,15,15,0.00%,100.00%
한국도로공사,0,15,15,0.00%,100.00%
향교,0,15,15,0.00%,100.00%
토요일,5,10,15,33.33%,66.67%
최소한,5,10,15,33.33%,66.67%
초등,5,10,15,33.33%,66.67%
자차,5,10,15,33.33%,66.67%
인당,0,15,15,0.00%,100.00%
예상,5,10,15,33.33%,66.67%
바다,5,10,15,33.33%,66.67%
라면,5,10,15,33.33%,66.67%
원인,5,10,15,33.33%,66.67%
마을,0,15,15,0.00%,100.00%
자쿠지,15,0,15,100.00%,0.00%
조언,10,5,15,66.67%,33.33%
잡기,10,5,15,66.67%,33.33%
경주역,15,0,15,100.00%,0.00%
고민,15,0,15,100.00%,0.00%
남산,15,0,15,100.00%,0.00%
남편,15,0,15,100.00%,0.00%
단지,15,0,15,100.00%,0.00%
대릉,15,0,15,100.00%,0.00%
마음,15,0,15,100.00%,0.00%
의견,10,5,15,66.67%,33.33%
빵집,15,0,15,100.00%,0.00%
시내,15,0,15,100.00%,0.00%
여성,15,0,15,100.00%,0.00%
오푸스,15,0,15,100.00%,0.00%
운전,15,0,15,100.00%,0.00%
중앙시장,15,0,15,100.00%,0.00%
천마총,15,0,15,100.00%,0.00%
할머니,15,0,15,100.00%,0.00%
황성공원,15,0,15,100.00%,0.00%
가을,10,5,15,66.67%,33.33%
검색,10,5,15,66.67%,33.33%
느낌,10,5,15,66.67%,33.33%
제일,10,5,15,66.67%,33.33%
계시,15,0,15,100.00%,0.00%
기차표,10,5,15,66.67%,33.33%
여자,10,5,15,66.67%,33.33%
맞춤,10,5,15,66.67%,33.33%
실내,10,5,15,66.67%,33.33%
중순,10,5,15,66.67%,33.33%
문의,10,5,15,66.67%,33.33%
드릴,10,5,15,66.67%,33.33%
출발,9,5,14,64.29%,35.71%
내일,0,14,14,0.00%,100.00%
도시,9,5,14,64.29%,35.71%
서울,9,5,14,64.29%,35.71%
오목대,0,12,12,0.00%,100.00%
추가,0,12,12,0.00%,100.00%
해주,5,7,12,41.67%,58.33%
주변,5,7,12,41.67%,58.33%
저녁,7,5,12,58.33%,41.67%
유적지,6,5,11,54.55%,45.45%
교통,0,11,11,0.00%,100.00%
경우,11,0,11,100.00%,0.00%
점심,0,10,10,0.00%,100.00%
전시회,0,10,10,0.00%,100.00%
하면,0,10,10,0.00%,100.00%
편리,5,5,10,50.00%,50.00%
자가용,0,10,10,0.00%,100.00%
방학,5,5,10,50.00%,50.00%
자만,0,10,10,0.00%,100.00%
어르신,10,0,10,100.00%,0.00%
진행,0,10,10,0.00%,100.00%
문제,10,0,10,100.00%,0.00%
크리스마스,0,10,10,0.00%,100.00%
어사이즈,10,0,10,100.00%,0.00%
최고봉,0,10,10,0.00%,100.00%
주주,0,10,10,0.00%,100.00%
주식,0,10,10,0.00%,100.00%
문화재,10,0,10,100.00%,0.00%
초코파이,0,10,10,0.00%,100.00%
먹거리,5,5,10,50.00%,50.00%
지난주,0,10,10,0.00%,100.00%
정리,0,10,10,0.00%,100.00%
해서,5,5,10,50.00%,50.00%
진주,0,10,10,0.00%,100.00%
캐리어,10,0,10,100.00%,0.00%
현대,0,10,10,0.00%,100.00%
보니,10,0,10,100.00%,0.00%
아침,5,5,10,50.00%,50.00%
캐리,10,0,10,100.00%,0.00%
중간,5,5,10,50.00%,50.00%
여행지,5,5,10,50.00%,50.00%
아이들,10,0,10,100.00%,0.00%
조금,5,5,10,50.00%,50.00%
제시,5,5,10,50.00%,50.00%
탐방,5,5,10,50.00%,50.00%
사실,10,0,10,100.00%,0.00%
사월,10,0,10,100.00%,0.00%
스테이,10,0,10,100.00%,0.00%
자연,5,5,10,50.00%,50.00%
이신,5,5,10,50.00%,50.00%
시기,10,0,10,100.00%,0.00%
질문자,5,5,10,50.00%,50.00%
애인,10,0,10,100.00%,0.00%
시설,5,5,10,50.00%,50.00%
시대,5,5,10,50.00%,50.00%
체크인,5,5,10,50.00%,50.00%
버드,10,0,10,100.00%,0.00%
초등학교,5,5,10,50.00%,50.00%
미술관,10,0,10,100.00%,0.00%
취향,5,5,10,50.00%,50.00%
완주,0,10,10,0.00%,100.00%
생활,5,5,10,50.00%,50.00%
사이트,5,5,10,50.00%,50.00%
블로그,5,5,10,50.00%,50.00%
블로거,5,5,10,50.00%,50.00%
코로나,5,5,10,50.00%,50.00%
부부,5,5,10,50.00%,50.00%
호수공원,0,10,10,0.00%,100.00%
이상,0,10,10,0.00%,100.00%
요소,0,10,10,0.00%,100.00%
연령,0,10,10,0.00%,100.00%
가게,5,5,10,50.00%,50.00%
구성원,10,0,10,100.00%,0.00%
경북,10,0,10,100.00%,0.00%
월말,10,0,10,100.00%,0.00%
관람,5,5,10,50.00%,50.00%
고리,5,5,10,50.00%,50.00%
고려,5,5,10,50.00%,50.00%
계절,5,5,10,50.00%,50.00%
경험,5,5,10,50.00%,50.00%
경치,5,5,10,50.00%,50.00%
인원,10,0,10,100.00%,0.00%
일간,10,0,10,100.00%,0.00%
주보,10,0,10,100.00%,0.00%
기상,10,0,10,100.00%,0.00%
주상절리,10,0,10,100.00%,0.00%
주신,10,0,10,100.00%,0.00%
황동,10,0,10,100.00%,0.00%
주제,10,0,10,100.00%,0.00%
해보면,10,0,10,100.00%,0.00%
주차,10,0,10,100.00%,0.00%
지구,10,0,10,100.00%,0.00%
책자,10,0,10,100.00%,0.00%
패딩,10,0,10,100.00%,0.00%
파크,10,0,10,100.00%,0.00%
초등학생,10,0,10,100.00%,0.00%
요즘,10,0,10,100.00%,0.00%
정복,10,0,10,100.00%,0.00%
기차,10,0,10,100.00%,0.00%
예보,10,0,10,100.00%,0.00%
남해,0,10,10,0.00%,100.00%
동물원,0,10,10,0.00%,100.00%
기간,5,5,10,50.00%,50.00%
대접,10,0,10,100.00%,0.00%
동반,0,10,10,0.00%,100.00%
드림랜드,0,10,10,0.00%,100.00%
무리,0,10,10,0.00%,100.00%
난장,0,10,10,0.00%,100.00%
복귀,0,10,10,0.00%,100.00%
사투리,0,10,10,0.00%,100.00%
생략,0,10,10,0.00%,100.00%
소리,0,10,10,0.00%,100.00%
수단,0,10,10,0.00%,100.00%
수원,0,10,10,0.00%,100.00%
요금,10,0,10,100.00%,0.00%
인근,5,5,10,50.00%,50.00%
달동네,10,0,10,100.00%,0.00%
기념,5,5,10,50.00%,50.00%
금요일,0,10,10,0.00%,100.00%
그때,0,10,10,0.00%,100.00%
요번,10,0,10,100.00%,0.00%
이틀,5,4,9,55.56%,44.44%
동안,5,4,9,55.56%,44.44%
곳도,0,8,8,0.00%,100.00%
여유,8,0,8,100.00%,0.00%
배달,8,0,8,100.00%,0.00%
입장료,3,5,8,37.50%,62.50%
월요일,3,5,8,37.50%,62.50%
바닷가,0,8,8,0.00%,100.00%
음식점,0,7,7,0.00%,100.00%
국립,7,0,7,100.00%,0.00%
식사,7,0,7,100.00%,0.00%
엑스포,7,0,7,100.00%,0.00%
조절,7,0,7,100.00%,0.00%
천지,7,0,7,100.00%,0.00%
순서,0,6,6,0.00%,100.00%
김선,0,5,5,0.00%,100.00%
기회,0,5,5,0.00%,100.00%
기지,0,5,5,0.00%,100.00%
개인,0,5,5,0.00%,100.00%
날짜,0,5,5,0.00%,100.00%
기로,0,5,5,0.00%,100.00%
남자,0,5,5,0.00%,100.00%
내부,0,5,5,0.00%,100.00%
내용,0,5,5,0.00%,100.00%
다윈,0,5,5,0.00%,100.00%
단점,0,5,5,0.00%,100.00%
달인,0,5,5,0.00%,100.00%
닭볶음탕,0,5,5,0.00%,100.00%
남산타워,0,5,5,0.00%,100.00%
금액,0,5,5,0.00%,100.00%
기관,0,5,5,0.00%,100.00%
골목,0,5,5,0.00%,100.00%
걱정,0,5,5,0.00%,100.00%
간적,0,5,5,0.00%,100.00%
간다,0,5,5,0.00%,100.00%
가운데,0,5,5,0.00%,100.00%
