token,경주빈도,전주빈도,빈도합,경주비율,전주비율
답장,0,5,5,0.00%,100.00%
건물,0,5,5,0.00%,100.00%
걷기,0,5,5,0.00%,100.00%
경로,0,5,5,0.00%,100.00%
고궁,0,5,5,0.00%,100.00%
공방,0,5,5,0.00%,100.00%
갤러리,0,5,5,0.00%,100.00%
공연,0,5,5,0.00%,100.00%
공장,0,5,5,0.00%,100.00%
교동,0,5,5,0.00%,100.00%
구분,0,5,5,0.00%,100.00%
구정,0,5,5,0.00%,100.00%
가보세,0,5,5,0.00%,100.00%
국립박물관,0,5,5,0.00%,100.00%
국립전주박물관,0,5,5,0.00%,100.00%
군산,0,5,5,0.00%,100.00%
교육,0,5,5,0.00%,100.00%
상담,0,5,5,0.00%,100.00%
당장,0,5,5,0.00%,100.00%
전주향교,0,5,5,0.00%,100.00%
전라,0,5,5,0.00%,100.00%
전라북도,0,5,5,0.00%,100.00%
전망,0,5,5,0.00%,100.00%
전북대,0,5,5,0.00%,100.00%
전주국제영화제,0,5,5,0.00%,100.00%
전주시,0,5,5,0.00%,100.00%
전통문화,0,5,5,0.00%,100.00%
대둔산,0,5,5,0.00%,100.00%
정감,0,5,5,0.00%,100.00%
정식,0,5,5,0.00%,100.00%
조건,0,5,5,0.00%,100.00%
조식,0,5,5,0.00%,100.00%
조정,0,5,5,0.00%,100.00%
주목,0,5,5,0.00%,100.00%
저도,0,5,5,0.00%,100.00%
장이,0,5,5,0.00%,100.00%
작은 도시,0,5,5,0.00%,100.00%
작성,0,5,5,0.00%,100.00%
자체,0,5,5,0.00%,100.00%
자가,0,5,5,0.00%,100.00%
일식,0,5,5,0.00%,100.00%
일반,0,5,5,0.00%,100.00%
인해,0,5,5,0.00%,100.00%
인스타그램,0,5,5,0.00%,100.00%
인과,0,5,5,0.00%,100.00%
이외,0,5,5,0.00%,100.00%
이예,0,5,5,0.00%,100.00%
이어도,0,5,5,0.00%,100.00%
이벤트,0,5,5,0.00%,100.00%
이동은,0,5,5,0.00%,100.00%
의외,0,5,5,0.00%,100.00%
주문,0,5,5,0.00%,100.00%
중식,0,5,5,0.00%,100.00%
중심,0,5,5,0.00%,100.00%
트레킹,0,5,5,0.00%,100.00%
휴가,0,5,5,0.00%,100.00%
후반,0,5,5,0.00%,100.00%
회관,0,5,5,0.00%,100.00%
현황,0,5,5,0.00%,100.00%
현재,0,5,5,0.00%,100.00%
허락,0,5,5,0.00%,100.00%
항목,0,5,5,0.00%,100.00%
한지,0,5,5,0.00%,100.00%
한번,0,5,5,0.00%,100.00%
하트,0,5,5,0.00%,100.00%
하늘,0,5,5,0.00%,100.00%
플랫폼,0,5,5,0.00%,100.00%
평점,0,5,5,0.00%,100.00%
팔복,0,5,5,0.00%,100.00%
토종,0,5,5,0.00%,100.00%
지밀,0,5,5,0.00%,100.00%
태교,0,5,5,0.00%,100.00%
타워,0,5,5,0.00%,100.00%
클래식,0,5,5,0.00%,100.00%
큐어,0,5,5,0.00%,100.00%
켈로그,0,5,5,0.00%,100.00%
케이블카,0,5,5,0.00%,100.00%
침대,0,5,5,0.00%,100.00%
친정,0,5,5,0.00%,100.00%
취사,0,5,5,0.00%,100.00%
체증,0,5,5,0.00%,100.00%
천하,0,5,5,0.00%,100.00%
천차만별,0,5,5,0.00%,100.00%
차량,0,5,5,0.00%,100.00%
지식,0,5,5,0.00%,100.00%
을해,0,5,5,0.00%,100.00%
운송,0,5,5,0.00%,100.00%
우유,0,5,5,0.00%,100.00%
보리암,0,5,5,0.00%,100.00%
성미,0,5,5,0.00%,100.00%
서울지방변호사회,0,5,5,0.00%,100.00%
서신동,0,5,5,0.00%,100.00%
생일,0,5,5,0.00%,100.00%
새만금,0,5,5,0.00%,100.00%
삼천,0,5,5,0.00%,100.00%
산타,0,5,5,0.00%,100.00%
사용,0,5,5,0.00%,100.00%
비빔밥,0,5,5,0.00%,100.00%
불편,0,5,5,0.00%,100.00%
분위기,0,5,5,0.00%,100.00%
부분,0,5,5,0.00%,100.00%
부담,0,5,5,0.00%,100.00%
본점,0,5,5,0.00%,100.00%
변호사,0,5,5,0.00%,100.00%
소요,0,5,5,0.00%,100.00%
법률,0,5,5,0.00%,100.00%
무가,0,5,5,0.00%,100.00%
명품,0,5,5,0.00%,100.00%
막걸리,0,5,5,0.00%,100.00%
마시,0,5,5,0.00%,100.00%
롯데,0,5,5,0.00%,100.00%
랑게,0,5,5,0.00%,100.00%
라고,0,5,5,0.00%,100.00%
동물,0,5,5,0.00%,100.00%
독일마을,0,5,5,0.00%,100.00%
데이트,0,5,5,0.00%,100.00%
대학로,0,5,5,0.00%,100.00%
대표,0,5,5,0.00%,100.00%
대여,0,5,5,0.00%,100.00%
소속,0,5,5,0.00%,100.00%
소유,0,5,5,0.00%,100.00%
욕조,0,5,5,0.00%,100.00%
연극,0,5,5,0.00%,100.00%
요청,0,5,5,0.00%,100.00%
요일,0,5,5,0.00%,100.00%
요약,0,5,5,0.00%,100.00%
요리,0,5,5,0.00%,100.00%
왕복,0,5,5,0.00%,100.00%
완산구,0,5,5,0.00%,100.00%
오후,0,5,5,0.00%,100.00%
오픈,0,5,5,0.00%,100.00%
오랜만,0,5,5,0.00%,100.00%
예술,0,5,5,0.00%,100.00%
영화제,0,5,5,0.00%,100.00%
영화,0,5,5,0.00%,100.00%
연인들,0,5,5,0.00%,100.00%
연못,0,5,5,0.00%,100.00%
여행객,0,5,5,0.00%,100.00%
수정,0,5,5,0.00%,100.00%
여행가,0,5,5,0.00%,100.00%
에피,0,5,5,0.00%,100.00%
에도,0,5,5,0.00%,100.00%
억양,0,5,5,0.00%,100.00%
양식,0,5,5,0.00%,100.00%
야시장,0,5,5,0.00%,100.00%
애견,0,5,5,0.00%,100.00%
알짜,0,5,5,0.00%,100.00%
안쪽,0,5,5,0.00%,100.00%
안내,0,5,5,0.00%,100.00%
실시간,0,5,5,0.00%,100.00%
시가,0,5,5,0.00%,100.00%
슈퍼,0,5,5,0.00%,100.00%
수학,0,5,5,0.00%,100.00%
조선,0,5,5,0.00%,100.00%
이후,5,0,5,100.00%,0.00%
아버지,5,0,5,100.00%,0.00%
언덕,5,0,5,100.00%,0.00%
분류,5,0,5,100.00%,0.00%
봄바람,5,0,5,100.00%,0.00%
본적,5,0,5,100.00%,0.00%
보문관광단지,5,0,5,100.00%,0.00%
별궁,5,0,5,100.00%,0.00%
베어,5,0,5,100.00%,0.00%
벚꽃,5,0,5,100.00%,0.00%
번주,5,0,5,100.00%,0.00%
방법,5,0,5,100.00%,0.00%
반갑습니다,5,0,5,100.00%,0.00%
바탕,5,0,5,100.00%,0.00%
바퀴,5,0,5,100.00%,0.00%
바람,5,0,5,100.00%,0.00%
바니,5,0,5,100.00%,0.00%
미성년자,5,0,5,100.00%,0.00%
뮤지,5,0,5,100.00%,0.00%
문단,5,0,5,100.00%,0.00%
무지,5,0,5,100.00%,0.00%
모텔,5,0,5,100.00%,0.00%
며칠,5,0,5,100.00%,0.00%
메인,5,0,5,100.00%,0.00%
매일,5,0,5,100.00%,0.00%
마지막,5,0,5,100.00%,0.00%
마구마구,5,0,5,100.00%,0.00%
리조트,5,0,5,100.00%,0.00%
분이,5,0,5,100.00%,0.00%
사전,5,0,5,100.00%,0.00%
생물학,5,0,5,100.00%,0.00%
식물원,5,0,5,100.00%,0.00%
어머님,5,0,5,100.00%,0.00%
어린애,5,0,5,100.00%,0.00%
어려움,5,0,5,100.00%,0.00%
안내소,5,0,5,100.00%,0.00%
아니,5,0,5,100.00%,0.00%
실행,5,0,5,100.00%,0.00%
실제,5,0,5,100.00%,0.00%
신축,5,0,5,100.00%,0.00%
신상,5,0,5,100.00%,0.00%
신라,5,0,5,100.00%,0.00%
신경주역,5,0,5,100.00%,0.00%
시즌,5,0,5,100.00%,0.00%
서서,5,0,5,100.00%,0.00%
스팅,5,0,5,100.00%,0.00%
스케쥴,5,0,5,100.00%,0.00%
스마,5,0,5,100.00%,0.00%
술집,5,0,5,100.00%,0.00%
수학여행,5,0,5,100.00%,0.00%
수면,5,0,5,100.00%,0.00%
수도,5,0,5,100.00%,0.00%
솔거,5,0,5,100.00%,0.00%
세정,5,0,5,100.00%,0.00%
세분,5,0,5,100.00%,0.00%
선배,5,0,5,100.00%,0.00%
루지,5,0,5,100.00%,0.00%
렌터카,5,0,5,100.00%,0.00%
레일,5,0,5,100.00%,0.00%
경량,5,0,5,100.00%,0.00%
국도변,5,0,5,100.00%,0.00%
구체,5,0,5,100.00%,0.00%
구매,5,0,5,100.00%,0.00%
교통편,5,0,5,100.00%,0.00%
교복,5,0,5,100.00%,0.00%
관심,5,0,5,100.00%,0.00%
공부,5,0,5,100.00%,0.00%
공개,5,0,5,100.00%,0.00%
고택,5,0,5,100.00%,0.00%
고속버스,5,0,5,100.00%,0.00%
경험담,5,0,5,100.00%,0.00%
경기도,5,0,5,100.00%,0.00%
그동안,5,0,5,100.00%,0.00%
결혼기념일,5,0,5,100.00%,0.00%
결과,5,0,5,100.00%,0.00%
겨울,5,0,5,100.00%,0.00%
건지,5,0,5,100.00%,0.00%
객실,5,0,5,100.00%,0.00%
개화,5,0,5,100.00%,0.00%
개별,5,0,5,100.00%,0.00%
감성,5,0,5,100.00%,0.00%
감상,5,0,5,100.00%,0.00%
가야,5,0,5,100.00%,0.00%
가도,5,0,5,100.00%,0.00%
권역,5,0,5,100.00%,0.00%
그쯤,5,0,5,100.00%,0.00%
랜드마크,5,0,5,100.00%,0.00%
님과 함께,5,0,5,100.00%,0.00%
라이,5,0,5,100.00%,0.00%
라구스,5,0,5,100.00%,0.00%
동네,5,0,5,100.00%,0.00%
동굴,5,0,5,100.00%,0.00%
도보이,5,0,5,100.00%,0.00%
도가,5,0,5,100.00%,0.00%
더 엑스,5,0,5,100.00%,0.00%
대상,5,0,5,100.00%,0.00%
대로,5,0,5,100.00%,0.00%
대구,5,0,5,100.00%,0.00%
대공원,5,0,5,100.00%,0.00%
뉴스,5,0,5,100.00%,0.00%
기반,5,0,5,100.00%,0.00%
네이버 지도,5,0,5,100.00%,0.00%
내년,5,0,5,100.00%,0.00%
낭비,5,0,5,100.00%,0.00%
낭만,5,0,5,100.00%,0.00%
남관,5,0,5,100.00%,0.00%
나이,5,0,5,100.00%,0.00%
나은,5,0,5,100.00%,0.00%
길이,5,0,5,100.00%,0.00%
기준,5,0,5,100.00%,0.00%
기온,5,0,5,100.00%,0.00%
기상청,5,0,5,100.00%,0.00%
언니,5,0,5,100.00%,0.00%
어른,5,0,5,100.00%,0.00%
여권,5,0,5,100.00%,0.00%
주중,5,0,5,100.00%,0.00%
카메라,5,0,5,100.00%,0.00%
친정엄마,5,0,5,100.00%,0.00%
추도,5,0,5,100.00%,0.00%
여동생,5,0,5,100.00%,0.00%
최적,5,0,5,100.00%,0.00%
최대한,5,0,5,100.00%,0.00%
최근,5,0,5,100.00%,0.00%
초보,5,0,5,100.00%,0.00%
청소년증,5,0,5,100.00%,0.00%
첫날,5,0,5,100.00%,0.00%
천군,5,0,5,100.00%,0.00%
처음이라서,5,0,5,100.00%,0.00%
차로,5,0,5,100.00%,0.00%
지인,5,0,5,100.00%,0.00%
지리,5,0,5,100.00%,0.00%
지라,5,0,5,100.00%,0.00%
지권,5,0,5,100.00%,0.00%
중학생,5,0,5,100.00%,0.00%
중학교,5,0,5,100.00%,0.00%
카카오,5,0,5,100.00%,0.00%
카트,5,0,5,100.00%,0.00%
코트,5,0,5,100.00%,0.00%
한화,5,0,5,100.00%,0.00%
힐링,5,0,5,100.00%,0.00%
후에,5,0,5,100.00%,0.00%
활용,5,0,5,100.00%,0.00%
활동,5,0,5,100.00%,0.00%
환절기,5,0,5,100.00%,0.00%
행복,5,0,5,100.00%,0.00%
해결책,5,0,5,100.00%,0.00%
할거,5,0,5,100.00%,0.00%
하차,5,0,5,100.00%,0.00%
타구,5,0,5,100.00%,0.00%
하시나,5,0,5,100.00%,0.00%
하나,5,0,5,100.00%,0.00%
피해,5,0,5,100.00%,0.00%
플레이,5,0,5,100.00%,0.00%
폴라로이드,5,0,5,100.00%,0.00%
포토,5,0,5,100.00%,0.00%
토함산,5,0,5,100.00%,0.00%
테마파크,5,0,5,100.00%,0.00%
중반,5,0,5,100.00%,0.00%
최초,5,0,5,100.00%,0.00%
좋은 날,5,0,5,100.00%,0.00%
이름,5,0,5,100.00%,0.00%
이구,5,0,5,100.00%,0.00%
의미,5,0,5,100.00%,0.00%
유산,5,0,5,100.00%,0.00%
월드컵,5,0,5,100.00%,0.00%
월드,5,0,5,100.00%,0.00%
원릉,5,0,5,100.00%,0.00%
움직임,5,0,5,100.00%,0.00%
울산,5,0,5,100.00%,0.00%
운영,5,0,5,100.00%,0.00%
왕자,5,0,5,100.00%,0.00%
옵션,5,0,5,100.00%,0.00%
오시,5,0,5,100.00%,0.00%
오세,5,0,5,100.00%,0.00%
오랫동안,5,0,5,100.00%,0.00%
조회,5,0,5,100.00%,0.00%
열차,5,0,5,100.00%,0.00%
여름,5,0,5,100.00%,0.00%
이나,5,0,5,100.00%,0.00%
예전,5,0,5,100.00%,0.00%
이맘때,5,0,5,100.00%,0.00%
재미,5,0,5,100.00%,0.00%
조화,5,0,5,100.00%,0.00%
조사,5,0,5,100.00%,0.00%
제한,5,0,5,100.00%,0.00%
제안,5,0,5,100.00%,0.00%
정신,5,0,5,100.00%,0.00%
전남,5,0,5,100.00%,0.00%
저번,5,0,5,100.00%,0.00%
정성,5,0,5,100.00%,0.00%
작품,5,0,5,100.00%,0.00%
작성일,5,0,5,100.00%,0.00%
작년,5,0,5,100.00%,0.00%
있다,5,0,5,100.00%,0.00%
일단,5,0,5,100.00%,0.00%
인테리어,5,0,5,100.00%,0.00%
인치,5,0,5,100.00%,0.00%
이튿날,5,0,5,100.00%,0.00%
이참,5,0,5,100.00%,0.00%
한국의 역사,4,0,4,100.00%,0.00%
인천,0,4,4,0.00%,100.00%
사람과,0,4,4,0.00%,100.00%
길거리 음식,0,4,4,0.00%,100.00%
광고,0,4,4,0.00%,100.00%
가면,0,4,4,0.00%,100.00%
형편,4,0,4,100.00%,0.00%
해몽,4,0,4,100.00%,0.00%
컴퓨터,4,0,4,100.00%,0.00%
조립식,4,0,4,100.00%,0.00%
시경,4,0,4,100.00%,0.00%
시내버스,4,0,4,100.00%,0.00%
자전거,4,0,4,100.00%,0.00%
출발지,4,0,4,100.00%,0.00%
외동,3,0,3,100.00%,0.00%
인가,0,3,3,0.00%,100.00%
시외버스,0,3,3,0.00%,100.00%
공용,0,3,3,0.00%,100.00%
행정,3,0,3,100.00%,0.00%
주머니,3,0,3,100.00%,0.00%
큰돈,3,0,3,100.00%,0.00%
쓰기,3,0,3,100.00%,0.00%
식대,3,0,3,100.00%,0.00%
센터,3,0,3,100.00%,0.00%
산업로,3,0,3,100.00%,0.00%
불국동,3,0,3,100.00%,0.00%
본인,3,0,3,100.00%,0.00%
복지,3,0,3,100.00%,0.00%
보무,3,0,3,100.00%,0.00%
간식,3,0,3,100.00%,0.00%
래미,2,0,2,100.00%,0.00%
아중,0,2,2,0.00%,100.00%
저수지,0,2,2,0.00%,100.00%
떡갈비,0,2,2,0.00%,100.00%
레일바이크,0,2,2,0.00%,100.00%
고맙습니다,0,2,2,0.00%,100.00%
대전,0,1,1,0.00%,100.00%
차선,1,0,1,100.00%,0.00%
정서,1,0,1,100.00%,0.00%
연중무휴,1,0,1,100.00%,0.00%
운행,1,0,1,100.00%,0.00%
전용,1,0,1,100.00%,0.00%
상황,0,1,1,0.00%,100.00%
